MUNICIPIO,UNIDADE_CONSUMIDORA,JAN_2021,FEV_2021,MAR_2021,ABR_2021,MAI_2021,JUN_2021,JUL_2021,AGO_2021,SET_2021,OUT_2021,NOV_2021,DEZ_2021,JAN_2022,FEV_2022,MAR_2022,ABR_2022,MAI_2022,JUN_2022,JUL_2022,AGO_2022,SET_2022,OUT_2022,NOV_2022,DEZ_2022,QTD_FALTANTES,FALTANTES
COREMAS,1828747-4,,,,,,OK,,,,,,,,,,,,,,,,,,,23,"JAN_2021, FEV_2021, MAR_2021, ABR_2021, MAI_2021, JUL_2021, AGO_2021, SET_2021, OUT_2021, NOV_2021, DEZ_2021, JAN_2022, FEV_2022, MAR_2022, ABR_2022, MAI_2022, JUN_2022, JUL_2022, AGO_2022, SET_2022, OUT_2022, NOV_2022, DEZ_2022"
COREMAS,1928684-8,,,,,,OK,,,,,,,,,,,,,,,,,,,23,"JAN_2021, FEV_2021, MAR_2021, ABR_2021, MAI_2021, JUL_2021, AGO_2021, SET_2021, OUT_2021, NOV_2021, DEZ_2021, JAN_2022, FEV_2022, MAR_2022, ABR_2022, MAI_2022, JUN_2022, JUL_2022, AGO_2022, SET_2022, OUT_2022, NOV_2022, DEZ_2022"
COREMAS,1936457-9,,,,,,OK,,,,,,,,,,,,,,,,,,,23,"JAN_2021, FEV_2021, MAR_2021, ABR_2021, MAI_2021, JUL_2021, AGO_2021, SET_2021, OUT_2021, NOV_2021, DEZ_2021, JAN_2022, FEV_2022, MAR_2022, ABR_2022, MAI_2022, JUN_2022, JUL_2022, AGO_2022, SET_2022, OUT_2022, NOV_2022, DEZ_2022"
COREMAS,1953888-3,,,,,,OK,,,,,,,,,,,,,,,,,,,23,"JAN_2021, FEV_2021, MAR_2021, ABR_2021, MAI_2021, JUL_2021, AGO_2021, SET_2021, OUT_2021, NOV_2021, DEZ_2021, JAN_2022, FEV_2022, MAR_2022, ABR_2022, MAI_2022, JUN_2022, JUL_2022, AGO_2022, SET_2022, OUT_2022, NOV_2022, DEZ_2022"
COREMAS,1954095-4,,,,,,OK,,,,,,,,,,,,,,,,,,,23,"JAN_2021, FEV_2021, MAR_2021, ABR_2021, MAI_2021, JUL_2021, AGO_2021, SET_2021, OUT_2021, NOV_2021, DEZ_2021, JAN_2022, FEV_2022, MAR_2022, ABR_2022, MAI_2022, JUN_2022, JUL_2022, AGO_2022, SET_2022, OUT_2022, NOV_2022, DEZ_2022"
COREMAS,2068021-1,,,,,,OK,,,,,,,,,,,,,,,,,,,23,"JAN_2021, FEV_2021, MAR_2021, ABR_2021, MAI_2021, JUL_2021, AGO_2021, SET_2021, OUT_2021, NOV_2021, DEZ_2021, JAN_2022, FEV_2022, MAR_2022, ABR_2022, MAI_2022, JUN_2022, JUL_2022, AGO_2022, SET_2022, OUT_2022, NOV_2022, DEZ_2022"
COREMAS,2068086-4,,,,,,OK,,,,,,,,,,,,,,,,,,,23,"JAN_2021, FEV_2021, MAR_2021, ABR_2021, MAI_2021, JUL_2021, AGO_2021, SET_2021, OUT_2021, NOV_2021, DEZ_2021, JAN_2022, FEV_2022, MAR_2022, ABR_2022, MAI_2022, JUN_2022, JUL_2022, AGO_2022, SET_2022, OUT_2022, NOV_2022, DEZ_2022"
COREMAS,2087935-9,,,,,,OK,,,,,,,,,,,,,,,,,,,23,"JAN_2021, FEV_2021, MAR_2021, ABR_2021, MAI_2021, JUL_2021, AGO_2021, SET_2021, OUT_2021, NOV_2021, DEZ_2021, JAN_2022, FEV_2022, MAR_2022, ABR_2022, MAI_2022, JUN_2022, JUL_2022, AGO_2022, SET_2022, OUT_2022, NOV_2022, DEZ_2022"
COREMAS,2102091-2,,,,,,OK,,,,,,,,,,,,,,,,,,,23,"JAN_2021, FEV_2021, MAR_2021, ABR_2021, MAI_2021, JUL_2021, AGO_2021, SET_2021, OUT_2021, NOV_2021, DEZ_2021, JAN_2022, FEV_2022, MAR_2022, ABR_2022, MAI_2022, JUN_2022, JUL_2022, AGO_2022, SET_2022, OUT_2022, NOV_2022, DEZ_2022"
COREMAS,2148305-2,,,,,,OK,,,,,,,OK,,,,,OK,,,,,,,21,"JAN_2021, FEV_2021, MAR_2021, ABR_2021, MAI_2021, JUL_2021, AGO_2021, SET_2021, OUT_2021, NOV_2021, DEZ_2021, FEV_2022, MAR_2022, ABR_2022, MAI_2022, JUL_2022, AGO_2022, SET_2022, OUT_2022, NOV_2022, DEZ_2022"
COREMAS,2202086-1,,,,,,,,,,,,,OK,,,,,OK,,,,,,,22,"JAN_2021, FEV_2021, MAR_2021, ABR_2021, MAI_2021, JUN_2021, JUL_2021, AGO_2021, SET_2021, OUT_2021, NOV_2021, DEZ_2021, FEV_2022, MAR_2022, ABR_2022, MAI_2022, JUL_2022, AGO_2022, SET_2022, OUT_2022, NOV_2022, DEZ_2022"
COREMAS,2211678-4,,,,,,OK,,,,,,,,,,,,,,,,,,,23,"JAN_2021, FEV_2021, MAR_2021, ABR_2021, MAI_2021, JUL_2021, AGO_2021, SET_2021, OUT_2021, NOV_2021, DEZ_2021, JAN_2022, FEV_2022, MAR_2022, ABR_2022, MAI_2022, JUN_2022, JUL_2022, AGO_2022, SET_2022, OUT_2022, NOV_2022, DEZ_2022"
COREMAS,2211679-2,,,,,,OK,,,,,,,,,,,,,,,,,,,23,"JAN_2021, FEV_2021, MAR_2021, ABR_2021, MAI_2021, JUL_2021, AGO_2021, SET_2021, OUT_2021, NOV_2021, DEZ_2021, JAN_2022, FEV_2022, MAR_2022, ABR_2022, MAI_2022, JUN_2022, JUL_2022, AGO_2022, SET_2022, OUT_2022, NOV_2022, DEZ_2022"
COREMAS,25806-1,OK,,,,,,,,,,,,,,,,,,,,,,,,23,"FEV_2021, MAR_2021, ABR_2021, MAI_2021, JUN_2021, JUL_2021, AGO_2021, SET_2021, OUT_2021, NOV_2021, DEZ_2021, JAN_2022, FEV_2022, MAR_2022, ABR_2022, MAI_2022, JUN_2022, JUL_2022, AGO_2022, SET_2022, OUT_2022, NOV_2022, DEZ_2022"
COREMAS,25882-2,OK,,,,,,,,,,,,,,,,,,,,,,,,23,"FEV_2021, MAR_2021, ABR_2021, MAI_2021, JUN_2021, JUL_2021, AGO_2021, SET_2021, OUT_2021, NOV_2021, DEZ_2021, JAN_2022, FEV_2022, MAR_2022, ABR_2022, MAI_2022, JUN_2022, JUL_2022, AGO_2022, SET_2022, OUT_2022, NOV_2022, DEZ_2022"
COREMAS,26004-2,OK,,,,,,,,,,,,,,,,,,,,,,,,23,"FEV_2021, MAR_2021, ABR_2021, MAI_2021, JUN_2021, JUL_2021, AGO_2021, SET_2021, OUT_2021, NOV_2021, DEZ_2021, JAN_2022, FEV_2022, MAR_2022, ABR_2022, MAI_2022, JUN_2022, JUL_2022, AGO_2022, SET_2022, OUT_2022, NOV_2022, DEZ_2022"
COREMAS,26006-7,OK,,,,,,,,,,,,,,,,,,,,,,,,23,"FEV_2021, MAR_2021, ABR_2021, MAI_2021, JUN_2021, JUL_2021, AGO_2021, SET_2021, OUT_2021, NOV_2021, DEZ_2021, JAN_2022, FEV_2022, MAR_2022, ABR_2022, MAI_2022, JUN_2022, JUL_2022, AGO_2022, SET_2022, OUT_2022, NOV_2022, DEZ_2022"
COREMAS,26108-1,OK,,,,,,,,,,,,,,,,,,,,,,,,23,"FEV_2021, MAR_2021, ABR_2021, MAI_2021, JUN_2021, JUL_2021, AGO_2021, SET_2021, OUT_2021, NOV_2021, DEZ_2021, JAN_2022, FEV_2022, MAR_2022, ABR_2022, MAI_2022, JUN_2022, JUL_2022, AGO_2022, SET_2022, OUT_2022, NOV_2022, DEZ_2022"
COREMAS,26497-8,OK,,,,,,,,,,,,,,,,,,,,,,,,23,"FEV_2021, MAR_2021, ABR_2021, MAI_2021, JUN_2021, JUL_2021, AGO_2021, SET_2021, OUT_2021, NOV_2021, DEZ_2021, JAN_2022, FEV_2022, MAR_2022, ABR_2022, MAI_2022, JUN_2022, JUL_2022, AGO_2022, SET_2022, OUT_2022, NOV_2022, DEZ_2022"
