385936	202406	202406
4069520	202406	202406
12630	202406	202406
1481950	202406	202406
12194	202406	202406
12432	202406	202406
2356926	202406	202406
1737551	202406	202406
4042184	202406	202406
1448101	202406	202406
207514	202406	202406
207828	202406	202406
537173	202406	202406
4039610	202406	202406
1741152	202406	202406
1936211	202406	202406
2124450	202406	202406
1271871	202406	202406
4039711	202406	202406
751223	202406	202406
1286538	202406	202406
1175850	202406	202406
82581	202406	202406
82618	202406	202406
7283727	202406	202406
83118	202406	202406
82993	202406	202406
83084	202406	202406
83104	202406	202406
385967	202406	202406
385974	202406	202406
385975	202406	202406
1221336	202406	202406
1737527	202406	202406
536551	202406	202406
1118616	202406	202406
2188900	202406	202406
2189275	202406	202406
536670	202406	202406
1888710	202406	202406
1762753	202406	202406
2426188	202406	202406
2426232	202406	202406
1930226	202406	202406
1930181	202406	202406
1024736	202406	202406
207274	202406	202406
1003471	202406	202406
1380645	202406	202406
4021399	202406	202406
4112900	202406	202406
12135	202406	202406
12135	202406	202406
1262383	202406	202406
1262398	202406	202406
737095	202406	202406
4138551	202406	202406
1443383	202406	202406
536464	202406	202406
12534	202411	202411
1389578	202411	202411
1389600	202411	202411
1389624	202411	202411
1389561	202411	202411
4051978	202411	202411
4344330	202411	202411
1571531	202411	202411
1389638	202411	202411
1389646	202411	202411
11921	202411	202411
1389869	202411	202411
206786	202411	202411
207076	202411	202411
1023493	202411	202411
1390173	202411	202411
12629	202411	202411
1437142	202411	202411
12135	202411	202411
1458071	202411	202411
1453356	202411	202411
876992	202411	202411
1390464	202411	202411
4116281	202411	202411
10447	202411	202411
4112900	202411	202411
1322524	202411	202411
1389500	202411	202411
1389563	202411	202411
2337972	202411	202411
4158942	202411	202411
1453322	202411	202411
4138551	202411	202411
536551	202411	202411
537173	202411	202411
1177798	202411	202411
4328514	202411	202411
12630	202411	202411
4017835	202411	202411
4004829	202411	202411
1118616	202411	202411
1599798	202411	202411
1066648	202411	202411
536464	202411	202411
1648412	202411	202411
737095	202411	202411
1882785	202411	202411
1760300	202411	202411
1760603	202411	202411
805161	202411	202411
1280969	202411	202411
2124450	202411	202411
207514	202411	202411
207828	202411	202411
1299111	202411	202411
207274	202411	202411
1452856	202411	202411
4386891	202411	202411
1271871	202411	202411
1552557	202411	202411
1936211	202411	202411
1389832	202411	202411
1389834	202411	202411
1389876	202411	202411
1937061	202411	202411
1508284	202411	202411
1380645	202411	202411
1456081	202411	202411
1930181	202411	202411
4277220	202411	202411
1637205	202411	202411
1003471	202411	202411
4021399	202411	202411
12432	202411	202411
1737527	202411	202411
4069520	202411	202411
1762753	202411	202411
12194	202411	202411
2188900	202411	202411
2189275	202411	202411
1390226	202411	202411
1390259	202411	202411
1390265	202411	202411
385936	202411	202411
385967	202411	202411
385974	202411	202411
1907353	202411	202411
1290220	202411	202411
4039711	202411	202411
1888710	202411	202411
82581	202411	202411
82618	202411	202411
1070106	202411	202411
1070111	202411	202411
1481950	202411	202411
207262	202411	202411
1024736	202411	202411
207926	202411	202411
2610536	202411	202411
751223	202411	202411
2356926	202411	202411
1175850	202411	202411
1443383	202411	202411
536670	202411	202411
1448101	202411	202411
1737551	202411	202411
82993	202411	202411
83084	202411	202411
83104	202411	202411
83118	202411	202411
1741152	202411	202411
385975	202411	202411
1390477	202411	202411
1221336	202411	202411
1262383	202411	202411
1262398	202411	202411
2426188	202411	202411
2426232	202411	202411
1286538	202411	202411
1930226	202411	202411
4039610	202411	202411
1118616	202412	202412
2426188	202412	202412
4039610	202412	202412
2426232	202412	202412
1458071	202412	202412
4051978	202412	202412
4069520	202412	202412
1937061	202412	202412
1882785	202412	202412
12194	202412	202412
1437142	202412	202412
4386891	202412	202412
1452856	202412	202412
10447	202412	202412
1389869	202412	202412
1389876	202412	202412
12534	202412	202412
1599798	202412	202412
1907353	202412	202412
1390226	202412	202412
1390259	202412	202412
1390265	202412	202412
1508284	202412	202412
1760603	202412	202412
1389638	202412	202412
1389646	202412	202412
1930181	202412	202412
1389500	202412	202412
876992	202412	202412
1389561	202412	202412
1389563	202412	202412
1322524	202412	202412
1389578	202412	202412
1389600	202412	202412
1389624	202412	202412
1066648	202412	202412
12630	202412	202412
536464	202412	202412
4405029	202412	202412
1003471	202412	202412
536551	202412	202412
537173	202412	202412
207514	202412	202412
207828	202412	202412
1760300	202412	202412
4112900	202412	202412
1175850	202412	202412
1390464	202412	202412
1390477	202412	202412
12629	202412	202412
1299111	202412	202412
1023493	202412	202412
4138551	202412	202412
11921	202412	202412
1453322	202412	202412
1177798	202412	202412
4021399	202412	202412
1453356	202412	202412
1380645	202412	202412
2356926	202412	202412
4277220	202412	202412
1389832	202412	202412
1389834	202412	202412
751223	202412	202412
12135	202412	202412
2610536	202412	202412
1280969	202412	202412
805161	202412	202412
1762753	202412	202412
1290220	202412	202412
1737527	202412	202412
206786	202412	202412
4039711	202412	202412
4344330	202412	202412
1571531	202412	202412
207076	202412	202412
1024736	202412	202412
4158942	202412	202412
4017835	202412	202412
1888710	202412	202412
1936211	202412	202412
7359857	202412	202412
207262	202412	202412
385936	202412	202412
385967	202412	202412
385974	202412	202412
1481950	202412	202412
385975	202412	202412
2337972	202412	202412
1070106	202412	202412
1070111	202412	202412
2188900	202412	202412
2189275	202412	202412
1648412	202412	202412
4004829	202412	202412
2124450	202412	202412
1930226	202412	202412
82993	202412	202412
83084	202412	202412
83104	202412	202412
83118	202412	202412
1737551	202412	202412
1271871	202412	202412
1221336	202412	202412
207274	202412	202412
82618	202412	202412
1390173	202412	202412
536670	202412	202412
4328514	202412	202412
1456081	202412	202412
1448101	202412	202412
1741152	202412	202412
1637205	202412	202412
82581	202412	202412
1262383	202412	202412
1262398	202412	202412
1443383	202412	202412
1552557	202412	202412
207926	202412	202412
737095	202412	202412
12135	202412	202412
12135	202412	202412
12629	202412	202412
12629	202412	202412
4116281	202412	202412
12432	202412	202412
